generation,avg_distance,min_distance,avg_imbalance,min_imbalance
0,726.9261110420866,565.0657019787463,52.478501551105545,0.3741950850913213
1,700.0286960280215,568.0750755330689,54.47077520594197,0.3741950850913213
2,687.9688353962684,538.6807080861471,49.795435162408516,3.428725573132512
3,681.7929661550603,538.6807080861471,51.063647404684886,3.174602891635056
4,680.1896483722567,502.2746543475106,54.07692603081371,4.445571162625025
5,676.8402384427217,502.2746543475106,50.88562794219121,4.562651534654202
6,671.5600517132336,505.0039745522861,51.42154031008744,5.342540599548252
7,667.3429712268688,505.0039745522861,51.8543020873685,5.698314510144737
8,654.8730975690925,497.61524101594364,49.22462127615887,2.0635106551654907
9,653.9053542533959,497.61524101594364,49.28871179522943,5.907591721845219
10,636.5502029272927,481.44790326446895,47.933874174593925,5.63171778830262
11,611.7454960607722,481.44790326446895,49.50916975203573,6.376369273928768
12,607.0643074751755,490.8282452361033,48.566317923685105,5.916797167634728
13,578.4754775962856,481.44790326446895,46.91664627834718,2.5495241545623317
14,551.8374900219401,481.1145108511333,45.19386210115404,2.470907684933979
15,531.160616243093,478.3851906463578,43.20366628337754,10.209791134505437
16,526.2997244582647,478.3851906463578,40.03255673617507,1.7340937575346653
17,523.0703820002074,478.3851906463578,39.369569186426965,5.178151858684022
18,508.3447062960882,478.3851906463578,38.75710835590935,5.4410369965500225
19,506.2749581021664,478.3851906463578,38.74554871568644,2.5484976910477606
20,512.7789712710014,478.3851906463578,39.64328172000692,2.161416015993067
21,505.7444101964884,478.3851906463578,39.49918201877754,5.178151858684022
22,502.40818476224956,478.3851906463578,38.10172247361085,3.868770156903538
23,502.3345683767825,478.3851906463578,40.70423660496486,12.911531884814291
24,512.2706462569595,478.3851906463578,39.864875362218136,2.1667699441517145
25,508.05877358050185,478.3851906463578,40.23946827897458,5.267262509523249
26,508.7725735319775,478.3851906463578,41.17662057156602,10.934330750549623
27,506.8372515524495,478.3851906463578,39.494803067853596,2.1667699441517145
28,511.5790758234965,478.3851906463578,39.90981784134625,5.2643244608676865
29,513.4844706492445,478.3851906463578,39.658369183506764,6.42024109743477
30,509.756096626018,478.3851906463578,40.481152510303346,3.5034690182415553
